inferred_paperdyne11,starts Program Comitee Chair organises Conference started By finishes organised finished
inferred_paperdyne8,assigned By views covered coauthors With covers has Conflict Type judges contains assigns proposes member Of speaks Members manages organised submitted relates is In submits spoken organises conflict Viewed block Assigning To Reviewer visible created cooperates creates managed proposed
inferred_paperdyne20,Program Comitee Chair Conflict Of Interest views managed By Rules manages visible
inferred_paperdyne14,Author Paper Proposed Conflict block Assigning To Reviewer visible By conflict
inferred_paperdyne10,Program Comitee Chair discusses Paper member Of Reviewer has Members head discussed By
inferred_paperdyne9,Program Comitee Chair accepts assigned Paper By accepted Reviewer rejected assigns To Review
inferred_paperdyne21,has Name Conference Acronym Email Person
inferred_paperdyne15,proposes views Main Author Proposed Conflict proposed By
inferred_paperdyne13,Program Comitee Chair switches Phase Of Conference Preparation
inferred_paperdyne16,Main Author Co- coauthors With
inferred_paperdyne12,proposed By Hidden Conflict Program Comitee Chair
inferred_paperdyne17,Contribution File Author submits Main submitted By
inferred_paperdyne7,Self Conflict Paper block Assigning To Reviewer
inferred_paperdyne2,Program Comitee Chair rejects Paper reviews Reviewer bids For is In Conflict With
inferred_paperdyne6,Speaker spoken By Paper speaks
inferred_paperdyne3,Review submits Paper Reviewer reviewed By is In Conflict With
inferred_paperdyne5,refused By confirmes refuses Paper confirmed visible Reviewer block Assigning To Pending Proposed Conflict
inferred_paperdyne19,Discussion Program Comitee Chair takes Place Location Meeting organises Conference contains
inferred_paperdyne4,Review creates Paper Reviewer judges created By
inferred_paperdyne1,Paper Confirmed Conflict Reviewer block Assigning To visible By relates
inferred_paperdyne18,Author creates changed By covered covers Paper speaks Conference Contribution Topic focuses On changes created
inferred_OpenConf7,Contact Author Alternate Email has been sent by Submitted Paper
inferred_OpenConf2,Comments for Program Committee Paper Review Author
inferred_OpenConf6,Paper Review Reccommendation has
inferred_OpenConf3,Review made by User Name Paper Reviewer has review
inferred_OpenConf5,Paper Review has Categorization
inferred_OpenConf18,will advocate to by Advocated Paper Advocate
inferred_OpenConf4,has Overall Paper Review Value
inferred_OpenConf1,Long bool Paper Review is Candidate for Award appropriate length
inferred_OpenConf8,Contact Author has sent Submitted Paper
inferred_OpenConf15,Title Paper Keywords
inferred_OpenConf10,is Type Format Paper File
inferred_OpenConf9,is stored in Paper File Submitted
inferred_OpenConf14,is written by Author writes Paper
inferred_OpenConf11,Paper Id Submitted
inferred_OpenConf17,Program chair Conference made by planned papers Planed Paper is in program
inferred_OpenConf12,Surname Country E-mail Name People Organisation
inferred_OpenConf16,Students Paper
inferred_OpenConf13,Web address Member
inferred_Cocus-23,added by add Person
inferred_Cocus-26,Person used by Template
inferred_Cocus-22,Account registred by Person register
inferred_Cocus-27,get Person Inforamtion
inferred_Cocus-21,send sent by Activity Person
inferred_Cocus-24,Person modified by Detail
inferred_Cocus-219,Administrator Role assign assigned by
inferred_Cocus-25,Person recieved by Email
inferred_Cocus-218,execute Event Approval Email Administrator has result
inferred_Cocus-211,Event Tracks conists of
inferred_Cocus-220,add remove Author
inferred_Cocus-214,User recieved by submited submit Document
inferred_Cocus-29,Event Approval Email confirmed by confirm
inferred_Cocus-210,Event define defined by Setup
inferred_Cocus-221,execute Event Creation has result Author
inferred_Cocus-215,User Help Request send
inferred_Cocus-28,User created by Event take part in Person
inferred_Cocus-213,User recieve use used by created Document Person
inferred_Cocus-222,Paper submited by Corresponding Author
inferred_Cocus-216,User has result Registration
inferred_Cocus-212,concerned Event URL
inferred_Cocus-223,owns
inferred_Cocus-217,approved by Administrator approve Event
inferred_linklings18,has Role Involved Panel is In Moderator Panelist
inferred_linklings19,has Place Event
inferred_linklings9,has Role Involved is In reviews
inferred_linklings8,has Room Name
inferred_linklings23,Applicant Application is Role Involved In has
inferred_linklings1,has Program Assigned is Type Of Content registers Reviewed Registered By Setting For Session Set Submission Status
inferred_linklings17,Role Settings is Set By Administrator sets Setting
inferred_linklings4,sets Setting has Settings
inferred_linklings12,has Title is Type Of Submission includes Status
inferred_linklings22,has Session Chair Program Assigned Conference
inferred_linklings16,is Set By sets Setting Administrator Submission Feature Settings
inferred_linklings5,Session has
inferred_linklings13,has Content Type
inferred_linklings21,Time Interval has
inferred_linklings3,Reviewer is Status Set By Submission
inferred_linklings15,is Setting For Submission Feature Settings has Type
inferred_linklings24,Paper Author is Role Involved In has
inferred_linklings6,has Address Person Assigned Sure Name First
inferred_linklings10,Administrator registers has Person Assigned Admin Registered Role
inferred_linklings20,Time Interval Event has
inferred_linklings2,has Submission Status sets is Set By
inferred_linklings14,Content Submission has
inferred_linklings25,Basic User has Person Assigned Role Self Registered
inferred_linklings7,Conference has Name Theme
inferred_linklings11,Role Settings has Setting is For
inferred_conference-29,has a review Reviewer authors Reviewed contribution Review
inferred_conference-228,is part of conference volumes has parts Conference volume
inferred_conference-219,Conference volume has a location Person the last name
inferred_conference-231,Presentation is given by Active conference participant gives presentations
inferred_conference-28,Workshop has workshops Conference volume
inferred_conference-229,was a track-workshop chair of has track-workshop-tutorial Track-workshop Conference part
inferred_conference-218,has the first name Person an email
inferred_conference-230,has a track-workshop-tutorial topic is topis of conference parts Topic Conference part
inferred_conference-232,Invited speaker talk contributes
inferred_conference-227,is a date of acceptance announcement has important dates belong to conference volume Conference full paper submission Important
inferred_conference-26,has tracks Track Conference volume
inferred_conference-213,invites co-reviewers Reviewer invited by
inferred_conference-23,Organizing committee has an organizing was of Conference volume
inferred_conference-222,has an ISBN a publisher Publisher Conference proceedings
inferred_conference-216,has a committee chair was of Chair Committee
inferred_conference-226,Important dates is a date of camera ready paper submission starting an abstract ending
inferred_conference-27,has tutorials Tutorial Conference volume
inferred_conference-212,Submitted contribution has a submitted Review expertise
inferred_conference-22,Conference contribution is submitted at volume
inferred_conference-223,Publisher issues Conference proceedings
inferred_conference-217,was a committee of has commtitee Committee Conference volume
inferred_conference-225,Reviewer belongs to a review reference Review preference Topic reviewers
inferred_conference-24,has a program committee Program was of Conference volume
inferred_conference-211,Reviewer has a review expertise Submitted contribution Review belongs to reviewers
inferred_conference-21,has contributions Conference contribution volume
inferred_conference-220,Conference document has authors a date of issue contributes Person
inferred_conference-214,has a committee co-chair was committe of Committee Co-chair
inferred_conference-224,has a degree Review preference volume Conference proceedings
inferred_conference-25,Steering committee was a steering of has Conference volume
inferred_conference-210,Review Reviewed contribution reviews
inferred_conference-221,Conference www has a URL
inferred_conference-215,Committee was a member of has members
inferred_confious-232,first name human e-mail last
inferred_confious-248,bidding of reviewer paper Program Committee member human is performed by concerned activity intensity has
inferred_confious-237,is concerned paper reviewing proces
inferred_confious-251,Rejected Paper rejection notification email is concerned paper
inferred_confious-233,is made by conference setup sets member human
inferred_confious-249,paper Program Committee Chair human is performed by concerned article notification has result
inferred_confious-236,group email human is sent to concerned reviewing proces
inferred_confious-250,conference setup includes topic human Program Committee member has of interest
inferred_confious-230,has author structure created by is of goes through human activity article in result sent to
inferred_confious-218,Program Committee member automatically assign paper Automatic Paper Assignment
inferred_confious-29,end date of conference setup sets
inferred_confious-235,assign paper is followed by Program Committee member Chair human performed assignment lower tier reviewing process
inferred_confious-229,conference setup end date of full paper submission sets
inferred_confious-231,is supervised by monitored supervises followed human performed performs activity
inferred_confious-219,sets member RPC conference setup is author of performed by Regular Program Committee lower tier reviewing process review
inferred_confious-28,conference setup end date of camera-ready submission sets camera ready
inferred_confious-234,human is employed in institute
inferred_confious-252,is concerned paper Accepted Paper acceptance notification email
inferred_confious-228,start date of camera-ready submission conference setup sets camera ready
inferred_confious-215,review form paper is concerned activity created in
inferred_confious-221,URL conference setup sets is concerned confernce
inferred_confious-24,conference setup sets RPC URL Regular Reviewer
inferred_confious-247,abstract of paper is concerned
inferred_confious-210,sets start date of abstract submission conference setup
inferred_confious-238,Undecided Paper goes through is concerned paper assignment submission process reviewing proces
inferred_confious-224,managing of conference process setup paper is concerned confernce
inferred_confious-242,Senior Program Committee member is followed by human performed upper tier reviewing process checked in notification lower
inferred_confious-21,conference setup sets start date is concerned confernce end
inferred_confious-214,review form structure created by Program Committee Chair activity is in has result lower tier reviewing process
inferred_confious-220,Program Committee member Manual Paper Assignment manually assign paper
inferred_confious-25,conference setup Senior Reviewer URL sets SPC
inferred_confious-246,has author paper Program Committee Chair Contact Person is concerned notification email sent to
inferred_confious-211,start date of conference setup sets
inferred_confious-239,is followed by human performed Contact Person paper assignment submission process
inferred_confious-225,conference phase of is in
inferred_confious-243,has author paper is of human concerned Contact Person
inferred_confious-217,conference setup has author review form is concerned confernce Program Committee member
inferred_confious-223,Program Committee Chair conference setup sets member PCC
inferred_confious-26,sets date of notification conference setup
inferred_confious-245,conference setup has author paper is concerned confernce Contact Person sets member CP
inferred_confious-212,conference setup sets start date or full paper submission of
inferred_confious-226,is made by conference setup concerned confernce Program Committee Chair sets member PCC
inferred_confious-240,is supervised by conference setup sets member SPC Senior Program Committee supervises activity lower tier reviewing process
inferred_confious-23,conference setup Contact Person URL sets CP
inferred_confious-216,review gives classification article
inferred_confious-222,is concerned confernce setup conference sets date
inferred_confious-27,end date of abstract submission conference setup sets
inferred_confious-244,full paper size
inferred_confious-213,review form activity is checked in created has result lower tier reviewing process
inferred_confious-227,managing of conference process is performed by performs activity Program Committee Chair
inferred_confious-241,has author Senior Program Committee member summary of reviews review upper tier reviewing process activity is created in result concerned
inferred_confious-22,conference setup sets Chair URL
inferred_cmt-25,Conference logo URL site
inferred_cmt-211,has Subject Area Paper
inferred_cmt-220,Person email
inferred_cmt-214,Reviewer written By Review write
